CRASH_DATE,CRASH_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOC,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,COLLISION_ID,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3
12/08/2021,19:30,AB,0.0,0.0,0.0,"(0,0)",OCEAN PARKWAY,AB,AB,4.0,0.0,0,0,0,0,4,0,Unsafe Speed,Unspecified,AB,4485523,Taxi,Station Wagon/Sport Utility Vehicle,AB
12/08/2021,22:37,STATEN ISLAND,10314.0,40.62121,-74.12385,"(40.62121, -74.12385)",AB,AB,288 MANOR ROAD,0.0,0.0,0,0,0,0,0,0,Pavement Slippery,AB,AB,4484906,Sedan,AB,AB
12/08/2021,17:56,AB,0.0,40.873737,-73.90593,"(40.873737, -73.90593)",MAJOR DEEGAN EXPRESSWAY,AB,AB,0.0,0.0,0,0,0,0,0,0,Unspecified,AB,AB,4485036,Sedan,AB,AB
12/07/2021,7:50,AB,0.0,40.66718,-73.95076,"(40.66718, -73.95076)",CARROLL STREET,AB,AB,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,AB,4485772,Sedan,Sedan,AB
12/08/2021,0:44,QUEENS,11101.0,40.754295,-73.93946,"(40.754295, -73.93946)",23 STREET,40 AVENUE,AB,0.0,0.0,0,0,0,0,0,0,View Obstructed/Limited,AB,AB,4485565,Sedan,AB,AB
12/08/2021,15:00,AB,0.0,40.588116,-73.97261,"(40.588116, -73.97261)",AVENUE Y,AB,AB,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,AB,AB,4484836,Sedan,AB,AB
12/10/2021,11:00,BRONX,10461.0,40.854935,-73.85822,"(40.854935, -73.85822)",AB,AB,2123 LURTING AVENUE,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,AB,4485340,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,AB
12/10/2021,1:10,AB,0.0,40.662575,-73.93448,"(40.662575, -73.93448)",SCHENECTADY AVENUE,AB,AB,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,AB,4485706,Station Wagon/Sport Utility Vehicle,Sedan,AB
12/09/2021,0:00,AB,0.0,40.7448,-73.953415,"(40.7448, -73.953415)",47 ROAD,AB,AB,1.0,0.0,1,0,0,0,0,0,Unspecified,AB,AB,4485384,Sedan,AB,AB
12/08/2021,18:36,AB,0.0,40.79672,-73.97618,"(40.79672, -73.97618)",HENRY HUDSON PARKWAY,AB,AB,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,AB,4484799,Sedan,Station Wagon/Sport Utility Vehicle,AB
12/09/2021,20:30,QUEENS,11004.0,40.752777,-73.70743,"(40.752777, -73.70743)",AB,AB,269-01 76 AVENUE,0.0,0.0,0,0,0,0,0,0,Illnes,AB,AB,4485077,Sedan,AB,AB
12/09/2021,10:13,BROOKLYN,11203.0,40.638523,-73.92607,"(40.638523, -73.92607)",KINGS HIGHWAY,FARRAGUT ROAD,AB,2.0,0.0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,AB,4485090,Sedan,Sedan,AB
03/26/2022,14:00,STATEN ISLAND,10301.0,40.637833,-74.08193,"(40.637833, -74.08193)",CORSON AVENUE,WESTERVELT AVENUE,AB,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,AB,4513697,Sedan,Sedan,AB
03/26/2022,1:02,MANHATTAN,10025.0,40.797836,-73.96946,"(40.797836, -73.96946)",WEST 101 STREET,BROADWAY,AB,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,AB,4513935,Sedan,Moped,AB
03/26/2022,16:02,QUEENS,11373.0,40.734375,-73.87342,"(40.734375, -73.87342)",QUEENS BOULEVARD,57 AVENUE,AB,1.0,0.0,0,0,0,0,1,0,Lost Consciousness,Unspecified,AB,4513794,Station Wagon/Sport Utility Vehicle,Sedan,AB
03/26/2022,16:05,QUEENS,11411.0,40.699947,-73.736626,"(40.699947, -73.736626)",115 AVENUE,221 STREET,AB,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Unspecified,AB,4514267,Station Wagon/Sport Utility Vehicle,Bus,AB
03/21/2022,12:05,MANHATTAN,10018.0,40.75632,-73.999275,"(40.75632, -73.999275)",AB,AB,515 WEST 36 STREET,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Unspecified,AB,4514237,Motorcycle,Sedan,AB
03/26/2022,5:13,QUEENS,11418.0,40.69614,-73.81789,"(40.69614, -73.81789)",131 STREET,ATLANTIC AVENUE,AB,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,AB,4513470,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,AB
